"charcoal/attachment/object/accordion";"Accordéon"
"charcoal/attachment/object/attachment";"Attachement"
"charcoal/attachment/object/category/generic";"Catégorie"
"charcoal/attachment/object/embed";"Média"
"charcoal/attachment/object/file";"Fichier"
"charcoal/attachment/object/gallery";"Galerie"
"charcoal/attachment/object/image";"Image"
"charcoal/attachment/object/link";"Lien"
"charcoal/attachment/object/text";"Texte"
"charcoal/attachment/object/video";"Vidéo"
"Attachment";"Attachement"
"Attachments";"Attachements"
"New Attachment";"Nouvelle Attachement"
"Edit Attachment";"Modifier l'attachement"
"List of Attachments";"Liste des attachements"
"Category";"Catégorie"
"Categories";"Catégories"
"File / Link";"Fichier / Lien"
"New Category";"Nouvelle Catégorie"
"List of Categories";"Liste des catégories"
"Information";"Information"
"Accordion";"Accordéon"
"Text Zone";"Zone de texte"
"New Text Zone";"Nouvelle zone de texte"
"List of Text Zones";"Liste des zones de texte"
"Picture";"Image"
"New Picture";"Nouvelle image"
"New Image";"Nouvelle image"
"List of Pictures";"Liste des images"
"List of Images";"Liste des images"
"Gallery";"Galerie"
"Picture Gallery";"Galerie d'images"
"New Gallery";"Nouvelle galerie"
"List of Galleries";"Liste des galeries"
"Embedded Media";"Média Externe"
"Content Accordion";"Accordéon de contenu"
"Panels";"Panneaux"
"Related Content";"Contenu relié"
"ID";"ID"
"Attachment ID";"ID de l'attachement"
"Object ID";"ID de l'objet"
"Object Type";"Type de l'objet"
"Group";"Groupe"
"If empty, the group will be set to ""generic""";"Si laissé vide, le groupe sera automatiquement ""generic"""
"Active";"Actif"
"Position";"Position"
"Title";"Titre"
"Show title on the website";"Afficher le titre sur le site"
"Sub-Title";"Sous-Titre"
"Description";"Description"
"Keywords";"Mots-clés"
"Type";"Type"
"URL";"URL"
"e.g.: <samp>https://locomotive.ca</samp>";"ex: <samp>https://locomotive.ca</samp>"
"File";"Fichier"
"File Size";"Taille du fichier"
"File Type";"Type de fichier"
"File's Thumbnail";"Vignette du fichier"
"New File";"Novueau fichier"
"List of Files";"Liste des fichiers"
"Video";"Vidéo"
"New Video";"Nouvelle vidéo"
"List of Videos";"Liste des vidéos"
"Embed Video";"Vidéo embed"
"As provided by YouTube or Vimeo";"Tel que fourni par YouTube ou Viméo"
"Media";"Média"
"Taxonomy";"Taxonomie"
"External Link";"Lien externe"
"New Link";"Nouveau lien"
"List of Links";"Liste de liens"
"{{ objType }} #{{ id }}";"{{ objType }} #{{ id }}"
"Add";"Ajouter"
"Add Content";"Ajouter du contenu"
"Edit";"Modifier"
"Edit Content";"Modifier le contenu"
"Remove";"Supprimer"
"Actions";"Actions"
"Disabled";"Désactivé"
"You must save this object to add this content type";"Vous devez enregistrer cet objet pour ajouter ce type de contenu"
"No content linked to this object.";"Aucun contenu n'a été lié à cet objet."
"Toggle Content Previews";"Basculer les aperçus de contenu"
"Expand Previews";"Afficher les aperçus"
"Close Previews";"Fermer les aperçus"
"Expand";"Afficher"
"Close";"Fermer"
